DATE,state,ur
2019-8-1,AK,6.2
2019-9-1,AK,6.2
2019-10-1,AK,6.1
2019-11-1,AK,6.1
2019-12-1,AK,6.1
2020-1-1,AK,6
2020-2-1,AK,5.8
2020-3-1,AK,5.2
2020-4-1,AK,13.5
2020-5-1,AK,12.7
2020-6-1,AK,12.4
2020-7-1,AK,11.6
2020-8-1,AK,7.4
2019-8-1,AL,2.8
2019-9-1,AL,2.7
2019-10-1,AL,2.7
2019-11-1,AL,2.7
2019-12-1,AL,2.7
2020-1-1,AL,2.7
2020-2-1,AL,2.7
2020-3-1,AL,3
2020-4-1,AL,13.8
2020-5-1,AL,9.6
2020-6-1,AL,7.6
2020-7-1,AL,7.9
2020-8-1,AL,5.6
2019-8-1,AR,3.6
2019-9-1,AR,3.6
2019-10-1,AR,3.5
2019-11-1,AR,3.5
2019-12-1,AR,3.5
2020-1-1,AR,3.5
2020-2-1,AR,3.5
2020-3-1,AR,5
2020-4-1,AR,10.8
2020-5-1,AR,9.6
2020-6-1,AR,8.1
2020-7-1,AR,7.1
2020-8-1,AR,7.4
2019-8-1,AZ,4.6
2019-9-1,AZ,4.6
2019-10-1,AZ,4.5
2019-11-1,AZ,4.5
2019-12-1,AZ,4.5
2020-1-1,AZ,4.5
2020-2-1,AZ,4.5
2020-3-1,AZ,6.1
2020-4-1,AZ,13.4
2020-5-1,AZ,9
2020-6-1,AZ,10
2020-7-1,AZ,10.7
2020-8-1,AZ,5.9
2019-8-1,CA,3.9
2019-9-1,CA,3.9
2019-10-1,CA,3.9
2019-11-1,CA,3.9
2019-12-1,CA,3.9
2020-1-1,CA,3.9
2020-2-1,CA,3.9
2020-3-1,CA,5.5
2020-4-1,CA,16.4
2020-5-1,CA,16.4
2020-6-1,CA,14.9
2020-7-1,CA,13.5
2020-8-1,CA,11.4
2019-8-1,CO,2.6
2019-9-1,CO,2.6
2019-10-1,CO,2.5
2019-11-1,CO,2.5
2019-12-1,CO,2.5
2020-1-1,CO,2.5
2020-2-1,CO,2.5
2020-3-1,CO,5.2
2020-4-1,CO,12.2
2020-5-1,CO,10.2
2020-6-1,CO,10.6
2020-7-1,CO,7.4
2020-8-1,CO,6.7
2019-8-1,CT,3.7
2019-9-1,CT,3.7
2019-10-1,CT,3.8
2019-11-1,CT,3.8
2019-12-1,CT,3.8
2020-1-1,CT,3.7
2020-2-1,CT,3.8
2020-3-1,CT,3.4
2020-4-1,CT,8.3
2020-5-1,CT,9.6
2020-6-1,CT,10.1
2020-7-1,CT,10.2
2020-8-1,CT,8.1
2019-8-1,DE,3.9
2019-9-1,DE,3.9
2019-10-1,DE,4
2019-11-1,DE,4
2019-12-1,DE,4
2020-1-1,DE,4
2020-2-1,DE,3.9
2020-3-1,DE,5
2020-4-1,DE,14.9
2020-5-1,DE,15.9
2020-6-1,DE,12.6
2020-7-1,DE,10.5
2020-8-1,DE,8.9
2019-8-1,FL,3
2019-9-1,FL,2.9
2019-10-1,FL,2.9
2019-11-1,FL,2.8
2019-12-1,FL,2.9
2020-1-1,FL,2.8
2020-2-1,FL,2.8
2020-3-1,FL,4.4
2020-4-1,FL,13.8
2020-5-1,FL,13.7
2020-6-1,FL,10.3
2020-7-1,FL,11.4
