Year,Month,State,Unemployment Rate
2019,8,AK,6.2
2019,9,AK,6.2
2019,10,AK,6.1
2019,11,AK,6.1
2019,12,AK,6.1
2020,1,AK,6
2020,2,AK,5.8
2020,3,AK,5.2
2020,4,AK,13.5
2020,5,AK,12.7
2020,6,AK,12.4
2020,7,AK,11.6
2020,8,AK,7.4
2019,8,AL,2.8
2019,9,AL,2.7
2019,10,AL,2.7
2019,11,AL,2.7
2019,12,AL,2.7
2020,1,AL,2.7
2020,2,AL,2.7
2020,3,AL,3
2020,4,AL,13.8
2020,5,AL,9.6
2020,6,AL,7.6
2020,7,AL,7.9
2020,8,AL,5.6
2019,8,AR,3.6
2019,9,AR,3.6
2019,10,AR,3.5
2019,11,AR,3.5
2019,12,AR,3.5
2020,1,AR,3.5
2020,2,AR,3.5
2020,3,AR,5
2020,4,AR,10.8
2020,5,AR,9.6
2020,6,AR,8.1
2020,7,AR,7.1
2020,8,AR,7.4
2019,8,AZ,4.6
2019,9,AZ,4.6
2019,10,AZ,4.5
2019,11,AZ,4.5
2019,12,AZ,4.5
2020,1,AZ,4.5
2020,2,AZ,4.5
2020,3,AZ,6.1
2020,4,AZ,13.4
2020,5,AZ,9
2020,6,AZ,10
2020,7,AZ,10.7
2020,8,AZ,5.9
2019,8,CA,3.9
2019,9,CA,3.9
2019,10,CA,3.9
2019,11,CA,3.9
2019,12,CA,3.9
2020,1,CA,3.9
2020,2,CA,3.9
2020,3,CA,5.5
2020,4,CA,16.4
2020,5,CA,16.4
2020,6,CA,14.9
2020,7,CA,13.5
2020,8,CA,11.4
2019,8,CO,2.6
2019,9,CO,2.6
2019,10,CO,2.5
2019,11,CO,2.5
2019,12,CO,2.5
2020,1,CO,2.5
2020,2,CO,2.5
2020,3,CO,5.2
2020,4,CO,12.2
2020,5,CO,10.2
2020,6,CO,10.6
2020,7,CO,7.4
2020,8,CO,6.7
2019,8,CT,3.7
2019,9,CT,3.7
2019,10,CT,3.8
2019,11,CT,3.8
2019,12,CT,3.8
2020,1,CT,3.7
2020,2,CT,3.8
2020,3,CT,3.4
2020,4,CT,8.3
2020,5,CT,9.6
2020,6,CT,10.1
2020,7,CT,10.2
2020,8,CT,8.1
2019,8,DE,3.9
2019,9,DE,3.9
2019,10,DE,4
2019,11,DE,4
2019,12,DE,4
2020,1,DE,4
2020,2,DE,3.9
2020,3,DE,5
2020,4,DE,14.9
2020,5,DE,15.9
2020,6,DE,12.6
2020,7,DE,10.5
2020,8,DE,8.9
2019,8,FL,3
2019,9,FL,2.9
2019,10,FL,2.9
2019,11,FL,2.8
2019,12,FL,2.9
2020,1,FL,2.8
2020,2,FL,2.8
2020,3,FL,4.4
2020,4,FL,13.8
2020,5,FL,13.7
2020,6,FL,10.3
2020,7,FL,11.4
2020,8,FL,7.4
2019,8,GA,3.3
2019,9,GA,3.2
2019,10,GA,3.2
2019,11,GA,3.1
2019,12,GA,3.1
2020,1,GA,3.1
2020,2,GA,3.1
2020,3,GA,4.6
2020,4,GA,12.6
2020,5,GA,9.4
2020,6,GA,7.6
2020,7,GA,7.6
2020,8,GA,5.6
2019,8,HI,2.7
2019,9,HI,2.8
2019,10,HI,2.6
2019,11,HI,2.6
2019,12,HI,2.2
2020,1,HI,2.9
2020,2,HI,2.7
2020,3,HI,2.3
2020,4,HI,23.6
2020,5,HI,23.4
2020,6,HI,13.9
2020,7,HI,13.5
2020,8,HI,12.5
2019,8,IA,2.8
2019,9,IA,2.8
2019,10,IA,2.8
2019,11,IA,2.8
2019,12,IA,2.8
2020,1,IA,2.8
2020,2,IA,2.8
2020,3,IA,3.3
2020,4,IA,11
2020,5,IA,10.2
2020,6,IA,8.4
2020,7,IA,6.8
2020,8,IA,6
2019,8,ID,2.9
2019,9,ID,2.9
2019,10,ID,2.9
2019,11,ID,2.9
2019,12,ID,2.9
2020,1,ID,2.8
2020,2,ID,2.7
2020,3,ID,2.5
2020,4,ID,11.8
2020,5,ID,9
2020,6,ID,5.8
2020,7,ID,5.1
2020,8,ID,4.2
2019,8,IL,4
2019,9,IL,3.5
2019,10,IL,3.5
2019,11,IL,3.4
2019,12,IL,3.5
