FIPS,State,Year,Month,Employable Population,Employed,Unemployed
1,Alabama,2016,1,"2,172,388","2,042,932","129,456"
2,Alaska,2016,1,"362,326","338,026","24,300"
4,Arizona,2016,1,"3,199,470","3,019,993","179,477"
5,Arkansas,2016,1,"1,337,486","1,280,917","56,569"
6,California,2016,1,"18,926,070","17,855,481","1,070,589"
8,Colorado,2016,1,"2,855,252","2,756,418","98,834"
9,Connecticut,2016,1,"1,881,587","1,778,448","103,139"
10,Delaware,2016,1,"471,595","449,898","21,697"
11,District of Columbia,2016,1,"393,217","368,138","25,079"
12,Florida,2016,1,"9,693,636","9,210,489","483,147"
13,Georgia,2016,1,"4,834,723","4,567,840","266,883"
15,Hawaii,2016,1,"678,412","657,553","20,859"
16,Idaho,2016,1,"805,747","773,795","31,952"
17,Illinois,2016,1,"6,567,794","6,167,588","400,206"
18,Indiana,2016,1,"3,320,240","3,165,306","154,934"
19,Iowa,2016,1,"1,699,371","1,637,272","62,099"
20,Kansas,2016,1,"1,489,470","1,430,646","58,824"
21,Kentucky,2016,1,"1,996,063","1,890,603","105,460"
22,Louisiana,2016,1,"2,137,970","2,006,984","130,986"
23,Maine,2016,1,"683,163","656,256","26,907"
24,Maryland,2016,1,"3,151,182","3,006,161","145,021"
25,Massachusetts,2016,1,"3,589,829","3,435,046","154,783"
26,Michigan,2016,1,"4,808,390","4,572,298","236,092"
27,Minnesota,2016,1,"3,022,094","2,910,450","111,644"
28,Mississippi,2016,1,"1,277,682","1,199,510","78,172"
29,Missouri,2016,1,"3,082,319","2,947,440","134,879"
30,Montana,2016,1,"521,657","499,647","22,010"
31,Nebraska,2016,1,"1,009,609","979,019","30,590"
32,Nevada,2016,1,"1,416,059","1,328,885","87,174"
33,New Hampshire,2016,1,"748,628","726,884","21,744"
34,New Jersey,2016,1,"4,480,839","4,255,861","224,978"
35,New Mexico,2016,1,"935,749","874,748","61,001"
36,New York,2016,1,"9,591,743","9,126,494","465,249"
37,North Carolina,2016,1,"4,820,427","4,566,317","254,110"
38,North Dakota,2016,1,"412,241","399,340","12,901"
39,Ohio,2016,1,"5,732,680","5,448,886","283,794"
40,Oklahoma,2016,1,"1,837,085","1,752,370","84,715"
41,Oregon,2016,1,"2,020,960","1,918,358","102,602"
42,Pennsylvania,2016,1,"6,445,838","6,107,965","337,873"
44,Rhode Island,2016,1,"553,553","523,523","30,030"
45,South Carolina,2016,1,"2,291,091","2,166,397","124,694"
46,South Dakota,2016,1,"451,130","438,270","12,860"
47,Tennessee,2016,1,"3,084,435","2,936,397","148,038"
48,Texas,2016,1,"13,208,828","12,624,562","584,266"
49,Utah,2016,1,"1,481,650","1,428,215","53,435"
50,Vermont,2016,1,"343,783","332,316","11,467"
51,Virginia,2016,1,"4,217,419","4,046,321","171,098"
53,Washington,2016,1,"3,601,379","3,402,586","198,793"
54,West Virginia,2016,1,"782,601","732,293","50,308"
55,Wisconsin,2016,1,"3,115,613","2,982,875","132,738"
56,Wyoming,2016,1,"303,381","287,824","15,557"
1,Alabama,2016,2,"2,174,756","2,045,861","128,895"
2,Alaska,2016,2,"362,337","337,879","24,458"
4,Arizona,2016,2,"3,207,431","3,029,724","177,707"
5,Arkansas,2016,2,"1,338,202","1,282,661","55,541"
6,California,2016,2,"18,952,145","17,888,925","1,063,220"
8,Colorado,2016,2,"2,863,147","2,764,171","98,976"
9,Connecticut,2016,2,"1,883,269","1,781,074","102,195"
10,Delaware,2016,2,"471,837","450,340","21,497"
11,District of Columbia,2016,2,"393,585","368,854","24,731"
12,Florida,2016,2,"9,712,896","9,235,561","477,335"
13,Georgia,2016,2,"4,851,945","4,586,811","265,134"
15,Hawaii,2016,2,"678,930","658,255","20,675"
16,Idaho,2016,2,"807,602","775,843","31,759"
17,Illinois,2016,2,"6,576,715","6,174,341","402,374"
18,Indiana,2016,2,"3,328,783","3,172,241","156,542"
19,Iowa,2016,2,"1,698,432","1,636,572","61,860"
20,Kansas,2016,2,"1,488,767","1,429,984","58,783"
21,Kentucky,2016,2,"1,999,099","1,894,362","104,737"
22,Louisiana,2016,2,"2,136,854","2,005,772","131,082"
23,Maine,2016,2,"684,668","657,907","26,761"
24,Maryland,2016,2,"3,152,907","3,009,793","143,114"
25,Massachusetts,2016,2,"3,594,275","3,443,299","150,976"
26,Michigan,2016,2,"4,820,082","4,583,086","236,996"
27,Minnesota,2016,2,"3,025,460","2,913,180","112,280"
28,Mississippi,2016,2,"1,277,989","1,200,743","77,246"
29,Missouri,2016,2,"3,083,829","2,949,106","134,723"
30,Montana,2016,2,"522,007","499,902","22,105"
31,Nebraska,2016,2,"1,009,726","979,150","30,576"
32,Nevada,2016,2,"1,416,961","1,331,038","85,923"
33,New Hampshire,2016,2,"749,434","727,904","21,530"
34,New Jersey,2016,2,"4,482,215","4,256,223","225,992"
35,New Mexico,2016,2,"936,303","875,026","61,277"
36,New York,2016,2,"9,590,442","9,127,609","462,833"
37,North Carolina,2016,2,"4,829,889","4,578,941","250,948"
38,North Dakota,2016,2,"412,403","399,138","13,265"
39,Ohio,2016,2,"5,742,076","5,455,245","286,831"
40,Oklahoma,2016,2,"1,836,866","1,750,944","85,922"
41,Oregon,2016,2,"2,028,317","1,926,180","102,137"
42,Pennsylvania,2016,2,"6,452,328","6,110,021","342,307"
44,Rhode Island,2016,2,"553,657","523,745","29,912"
45,South Carolina,2016,2,"2,293,423","2,169,928","123,495"
46,South Dakota,2016,2,"451,361","438,525","12,836"
47,Tennessee,2016,2,"3,091,802","2,946,061","145,741"
48,Texas,2016,2,"13,234,764","12,649,925","584,839"
49,Utah,2016,2,"1,486,078","1,432,542","53,536"
50,Vermont,2016,2,"344,012","332,618","11,394"
51,Virginia,2016,2,"4,221,083","4,050,676","170,407"
53,Washington,2016,2,"3,612,356","3,414,157","198,199"
54,West Virginia,2016,2,"783,165","732,842","50,323"
55,Wisconsin,2016,2,"3,119,468","2,988,038","131,430"
56,Wyoming,2016,2,"303,454","287,103","16,351"
1,Alabama,2016,3,"2,175,985","2,047,937","128,048"
2,Alaska,2016,3,"362,317","337,721","24,596"
4,Arizona,2016,3,"3,214,545","3,038,110","176,435"
5,Arkansas,2016,3,"1,338,608","1,283,913","54,695"
6,California,2016,3,"18,970,327","17,914,453","1,055,874"
8,Colorado,2016,3,"2,869,786","2,770,611","99,175"
9,Connecticut,2016,3,"1,885,281","1,784,062","101,219"
10,Delaware,2016,3,"471,918","450,572","21,346"
11,District of Columbia,2016,3,"393,847","369,451","24,396"
12,Florida,2016,3,"9,727,593","9,255,436","472,157"
13,Georgia,2016,3,"4,866,685","4,603,473","263,212"
15,Hawaii,2016,3,"679,536","658,903","20,633"
16,Idaho,2016,3,"809,281","777,715","31,566"
17,Illinois,2016,3,"6,577,603","6,176,953","400,650"
18,Indiana,2016,3,"3,333,489","3,176,736","156,753"
19,Iowa,2016,3,"1,696,676","1,634,926","61,750"
20,Kansas,2016,3,"1,487,516","1,428,684","58,832"
21,Kentucky,2016,3,"2,001,105","1,897,720","103,385"
