Region,Year,Employment Rate,Unemployment Rate,Underemployment Rate
NCR                                            ,2020,88.3,11.7,9.2
NCR                                            ,2019,94,6,5.3
CAR,2020,89.6,10.4,14.5
CAR,2019,96.5,3.5,12.2
Region I                           ,2020,86.6,13.4,17.2
Region I                           ,2019,94.7,5.3,16.8
Region II                                                 ,2020,91.3,8.7,16.8
Region II                                                 ,2019,96.4,3.6,16.1
Region III                                                ,2020,86.9,13.1,12.1
Region III                                                ,2019,94.9,5.1,10.1
Region IV-A                                                          ,2020,88.4,11.6,17.2
Region IV-A                                                          ,2019,93.8,6.2,11.7
Region IV-B,2020,92.7,7.3,23.9
Region IV-B,2019,95.7,4.3,19.5
Region V       ,2020,90.5,9.5,27.5
Region V       ,2019,94.9,5.1,27.4
Region VI                                              ,2020,92.2,7.8,11.7
Region VI                                              ,2019,95.3,4.7,11.2
Region VII                                     ,2020,89.7,10.3,15.8
Region VII                                     ,2019,94.8,5.2,14.7
Region VIII                                       ,2020,92,8,20.1
Region VIII                                       ,2019,95.6,4.4,20.3
Region IX                                 ,2020,90.1,9.9,17
Region IX                                 ,2019,96.3,3.7,16.4
Region X                        ,2020,93.6,6.4,23.6
Region X                        ,2019,95.6,4.4,21.8
Region XI                                  ,2020,90.8,9.2,13
Region XI                                  ,2019,96.2,3.8,11.1
Region XII                                            ,2020,90.9,9.1,22.2
Region XII                                            ,2019,95.6,4.4,19.7
Region XIII                ,2020,92.4,7.6,23
Region XIII                ,2019,95.2,4.8,18.2
BARMM                              ,2020,91,9,10.1
BARMM                              ,2019,93.7,6.3,8.3
