Entity,Code,Year,Unemployment
Philippines,PHL,1991,3.56
Philippines,PHL,1992,3.61
Philippines,PHL,1993,3.69
Philippines,PHL,1994,3.71
Philippines,PHL,1995,3.71
Philippines,PHL,1996,3.71
Philippines,PHL,1997,3.7
Philippines,PHL,1998,3.7
Philippines,PHL,1999,3.73
Philippines,PHL,2000,3.71
Philippines,PHL,2001,3.7
Philippines,PHL,2002,3.63
Philippines,PHL,2003,3.53
Philippines,PHL,2004,3.55
Philippines,PHL,2005,3.8
Philippines,PHL,2006,4.05
Philippines,PHL,2007,3.43
Philippines,PHL,2008,3.72
Philippines,PHL,2009,3.86
Philippines,PHL,2010,3.61
Philippines,PHL,2011,3.59
Philippines,PHL,2012,3.5
Philippines,PHL,2013,3.5
Philippines,PHL,2014,3.6
Philippines,PHL,2015,3.07
Philippines,PHL,2016,2.69
Philippines,PHL,2017,2.55
Philippines,PHL,2018,2.34
Philippines,PHL,2019,2.24
Philippines,PHL,2020,3.36
